SubjectID	Population
Subject_0001	AFR
Subject_0002	EAS
Subject_0003	EUR
Subject_0004	SAS
Subject_0005	SAS
Subject_0006	EAS
Subject_0007	EUR
Subject_0009	AMR
Subject_0010	EAS
Subject_0011	EUR
Subject_0012	AFR
Subject_0013	EUR
Subject_0014	AFR
Subject_0015	AFR
Subject_0016	AFR
Subject_0017	SAS
Subject_0018	SAS
Subject_0019	EUR
Subject_0020	SAS
Subject_0022	EUR
Subject_0023	AFR
Subject_0024	EUR
Subject_0025	EAS
Subject_0026	EUR
Subject_0028	EAS
Subject_0029	EUR
Subject_0030	EUR
Subject_0031	EAS
Subject_0032	SAS
Subject_0033	SAS
Subject_0035	AFR
Subject_0036	AMR
Subject_0037	EAS
Subject_0038	EUR
Subject_0039	EUR
Subject_0040	AFR
Subject_0041	AFR
Subject_0042	EUR
Subject_0043	EAS
Subject_0044	AMR
Subject_0045	EUR
Subject_0046	AFR
Subject_0047	AFR
Subject_0048	EAS
Subject_0049	SAS
Subject_0050	EUR
Subject_0051	SAS
Subject_0052	SAS
Subject_0053	AFR
Subject_0054	SAS
Subject_0055	AFR
Subject_0056	AFR
Subject_0057	AFR
Subject_0058	AMR
Subject_0060	EUR
Subject_0062	EUR
Subject_0063	AFR
Subject_0064	AFR
Subject_0066	SAS
Subject_0067	EUR
Subject_0068	EAS
Subject_0070	AFR
Subject_0071	AFR
Subject_0072	AFR
Subject_0073	SAS
Subject_0074	EAS
Subject_0075	SAS
Subject_0076	EUR
Subject_0077	EAS
Subject_0078	AMR
Subject_0079	AFR
Subject_0081	EUR
Subject_0082	EAS
Subject_0083	EAS
Subject_0084	EUR
Subject_0085	AMR
Subject_0086	AMR
Subject_0087	AFR
Subject_0088	AMR
Subject_0089	SAS
Subject_0090	AFR
Subject_0091	AMR
Subject_0092	AFR
Subject_0094	AFR
Subject_0095	EAS
Subject_0097	EUR
Subject_0098	AFR
Subject_0099	SAS
Subject_0100	SAS
Subject_0101	EUR
Subject_0102	SAS
Subject_0104	AFR
Subject_0105	EAS
Subject_0106	AFR
Subject_0107	EAS
Subject_0108	SAS
Subject_0109	EAS
Subject_0111	EAS
Subject_0114	EAS
Subject_0115	EUR
Subject_0116	SAS
Subject_0117	EAS
Subject_0118	AMR
Subject_0119	EAS
Subject_0120	EAS
Subject_0121	EUR
Subject_0122	EUR
Subject_0123	AMR
Subject_0124	AFR
Subject_0125	SAS
Subject_0126	AFR
Subject_0127	SAS
Subject_0128	EUR
Subject_0129	SAS
